,Unnamed: 0,hotel_name,stars,price,price_for_period,nights_for_price,package,takeoff_airport,link_on_fibula,title_on_trip_advisor,number_bubbles,number_reviews,link
32,32,Palm Beach Resort,4 ѕвезди,€ 1.176,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/palm-beach-resort--823861#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Palm Beach Resort,4 of 5 bubbles,"1,643 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d316679-Reviews-Palm_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
33,33,Aurora Bay Resort Marsa Alam,4 ѕвезди,€ 1.188,21 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/aurora-bay-resort-marsa-alam--107809#departure=2023-07-21&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-21&v=1",Aurora Bay Resort Marsa Alam,4 of 5 bubbles,"2,252 reviews",https://www.tripadvisor.com/Hotel_Review-g311425-d2260803-Reviews-Aurora_Bay_Resort_Marsa_Alam-Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
34,34,Titanic Resort & Aquapark,4 ѕвезди,€ 1.200,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/titanic-resort-and-aquapark--192859#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Titanic Resort & Aqua Park,4.5 of 5 bubbles,"3,298 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d1221606-Reviews-Titanic_Resort_Aqua_Park-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
35,35,Stella Gardens Resort & Spa,5 ѕвезди,€ 1.202,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/stella-gardens-resort-and-spa--469680#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Stella Gardens Resort & Spa,4.5 of 5 bubbles,"1,342 reviews",https://www.tripadvisor.com/Hotel_Review-g297550-d10045396-Reviews-Stella_Gardens_Resort_Spa-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
36,36,Hurghada Long Beach Resort,4 ѕвезди,€ 1.202,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hurghada-long-beach-resort--871697#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Hurghada Long Beach Resort,4.5 of 5 bubbles,"5,698 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d301992-Reviews-Hurghada_Long_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
37,37,Bel Air Azur Resort,3 ѕвезди,€ 1.214,12 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/bel-air-azur-resort--201929#departure=2023-09-12&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-12&v=1",Bel Air Azur Resort,4.5 of 5 bubbles,976 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d627555-Reviews-Bel_Air_Azur_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
38,38,Mercure Hurghada Hotel,4 ѕвезди,€ 1.214,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/mercure-hurghada-hotel--772382#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Mercure Hurghada Hotel,4.5 of 5 bubbles,"6,692 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d299638-Reviews-Mercure_Hurghada_Hotel-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
39,39,Coral Sun Beach Safaga,4 ѕвезди,€ 1.214,29 авг. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/coral-sun-beach-safaga--1614576#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1",Coral Sun Beach Safaga,4 of 5 bubbles,304 reviews,https://www.tripadvisor.com/Hotel_Review-g297553-d2023306-Reviews-Coral_Sun_Beach_Safaga-Safaga_Red_Sea_and_Sinai.html#REVIEWS
40,40,Pickalbatros Sands Port Ghalib,5 ѕвезди,€ 1.228,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/pickalbatros-sands-port-ghalib--210194#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Pickalbatros Sands Port Ghalib,4.5 of 5 bubbles,"2,702 reviews",https://www.tripadvisor.com/Hotel_Review-g10837810-d1204485-Reviews-Pickalbatros_Sands_Port_Ghalib-Port_Ghalib_Red_Sea_and_Sinai.html#REVIEWS
41,41,Hotelux Marina Beach Hurghada,"4,5 ѕвезди",€ 1.228,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hotelux-marina-beach-hurghada--358178#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Hotelux Marina Beach Resort,4 of 5 bubbles,758 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d584250-Reviews-Hotelux_Marina_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
